ID,seconds_elapsed,location_latitude,location_longitude,location_local_time,accelerometer_z,street_name,accelerometer_y_new,accelerometer_x_new,geometry,L2_norm
120,26,44.940076,-93.174686,2025-02-19T21:40:30Z,-0.10346,Grand Avenue East,-0.125347,0.053682,"c(NA, NA)",0.17116541453517994
121,27,44.940077,-93.174553,2025-02-19T21:40:31Z,0.012448,Grand Avenue East,-0.008168,0.004393,"c(NA, NA)",0.01552312394461888
122,28,44.940077,-93.174415,2025-02-19T21:40:32Z,-0.017582,Grand Avenue East,-0.034296,-0.056951,"c(NA, NA)",0.06876597080678787
123,29,44.940077,-93.174276,2025-02-19T21:40:33Z,-0.237436,Grand Avenue East,-0.060968,-0.103313,"c(NA, NA)",0.26601978702532636
124,30,44.940081,-93.174135,2025-02-19T21:40:34Z,0.053725,Grand Avenue East,-0.152111,0.149613,"c(NA, NA)",0.22001859402105087
125,31,44.940083,-93.173993,2025-02-19T21:40:35Z,-0.143716,Grand Avenue East,0.007742,0.067619,"c(NA, NA)",0.15901747193626242
126,32,44.940083,-93.173849,2025-02-19T21:40:36Z,-0.131894,Grand Avenue East,-0.07914,0.194173,"c(NA, NA)",0.2477141916907467
127,33,44.940082,-93.173705,2025-02-19T21:40:37Z,-0.205365,Grand Avenue East,-0.034942,0.124175,"c(NA, NA)",0.24251836469430516
128,34,44.940084,-93.173563,2025-02-19T21:40:38Z,-0.260873,Grand Avenue East,0.002182,-0.06368,"c(NA, NA)",0.26854166465001295
129,35,44.940084,-93.173421,2025-02-19T21:40:39Z,-0.155912,Grand Avenue East,-0.052272,0.064789,"c(NA, NA)",0.17674424530660113
130,36,44.940086,-93.173278,2025-02-19T21:40:40Z,-0.569473,Grand Avenue East,-0.163837,-0.05159,"c(NA, NA)",0.5948139107300703
131,37,44.940088,-93.17314,2025-02-19T21:40:41Z,-0.556796,Grand Avenue East,-0.070065,0.160473,"c(NA, NA)",0.583680112364641
132,38,44.940091,-93.17301,2025-02-19T21:40:42Z,-0.472851,Grand Avenue East,-0.048872,0.229551,"c(NA, NA)",0.5278922259192685
133,39,44.940093,-93.172885,2025-02-19T21:40:43Z,-0.012528,Grand Avenue East,-0.046636,0.351978,"c(NA, NA)",0.3552750761930817
134,40,44.940087,-93.172756,2025-02-19T21:40:44Z,0.331783,Grand Avenue East,-0.023182,0.059355,"c(NA, NA)",0.33784668155540615
135,41,44.940086,-93.172625,2025-02-19T21:40:45Z,-0.016058,Grand Avenue East,-0.023343,-0.007949,"c(NA, NA)",0.029426885903880484
136,42,44.940084,-93.172493,2025-02-19T21:40:46Z,0.04318,Grand Avenue East,-0.015951,-0.030879,"c(NA, NA)",0.05542977035853568
137,43,44.940082,-93.172362,2025-02-19T21:40:47Z,-0.009908,Grand Avenue East,-0.029579,-0.154502,"c(NA, NA)",0.1576196488671384
138,44,44.940081,-93.172228,2025-02-19T21:40:48Z,0.056705,Grand Avenue East,-0.041124,0.021667,"c(NA, NA)",0.07332188820536471
139,45,44.940082,-93.172095,2025-02-19T21:40:49Z,0.036134,Grand Avenue East,0.073914,0.020125,"c(NA, NA)",0.08469923834958612
140,46,44.940082,-93.171959,2025-02-19T21:40:50Z,0.040241,Grand Avenue East,-0.053855,0.018082,"c(NA, NA)",0.06961794186845802
141,47,44.940083,-93.171823,2025-02-19T21:40:51Z,0.11898,Grand Avenue East,0.043276,-0.071659,"c(NA, NA)",0.14547874366037122
142,48,44.940082,-93.171686,2025-02-19T21:40:52Z,0.123494,Grand Avenue East,-0.059345,-0.09818,"c(NA, NA)",0.16855832658459802
143,49,44.940081,-93.171545,2025-02-19T21:40:53Z,0.156534,Grand Avenue East,0.163919,-0.047914,"c(NA, NA)",0.2316637285226153
144,50,44.940083,-93.171403,2025-02-19T21:40:54Z,-0.04436,Grand Avenue East,-0.091414,-0.07464,"c(NA, NA)",0.1260771930049206
145,51,44.940083,-93.171258,2025-02-19T21:40:55Z,-0.175985,Grand Avenue East,-0.019164,-0.122713,"c(NA, NA)",0.21539837392608144
146,52,44.940084,-93.171117,2025-02-19T21:40:56Z,-0.174635,Grand Avenue East,-0.062349,0.091294,"c(NA, NA)",0.20668666009687225
147,53,44.940085,-93.170978,2025-02-19T21:40:57Z,-0.037477,Grand Avenue East,-0.002245,0.201953,"c(NA, NA)",0.20541319276765063
