ID,seconds_elapsed,location_latitude,location_longitude,location_local_time,accelerometer_z,street_name,accelerometer_y_new,accelerometer_x_new,L2_norm,base_street,line_count,color
89,18,44.940088,-93.175096,2025-04-04T03:49:35Z,-0.096397,Grand Avenue East,-0.143757,0.219248,0.2793351788837202,Grand Avenue,2,#FCAE91
90,19,44.940087,-93.174974,2025-04-04T03:49:36Z,0.089673,Grand Avenue East,0.077848,0.014009,0.11957345070708632,Grand Avenue,2,#FCAE91
91,20,44.940087,-93.174848,2025-04-04T03:49:37Z,-0.005873,Grand Avenue East,-0.017753,0.142859,0.14407760068449224,Grand Avenue,2,#FCAE91
92,21,44.940081,-93.174751,2025-04-04T03:49:38Z,-0.024425,Grand Avenue East,-0.008955,0.030707,0.04024540345182292,Grand Avenue,2,#FCAE91
93,22,44.940082,-93.174602,2025-04-04T03:49:39Z,0.061781,Grand Avenue East,-0.111026,0.158592,0.2032119265717443,Grand Avenue,2,#FCAE91
94,23,44.940082,-93.174467,2025-04-04T03:49:40Z,-0.134484,Grand Avenue East,0.066296,0.058349,0.1608903715981786,Grand Avenue,2,#FCAE91
95,24,44.940081,-93.174337,2025-04-04T03:49:41Z,-0.048907,Grand Avenue East,-0.137178,0.024026,0.14760402097842729,Grand Avenue,2,#FCAE91
96,25,44.940084,-93.174199,2025-04-04T03:49:42Z,-0.114326,Grand Avenue East,-0.043381,0.085029,0.14893715546498126,Grand Avenue,2,#FCAE91
97,26,44.940084,-93.174067,2025-04-04T03:49:43Z,-0.014692,Grand Avenue East,-0.176994,0.023991,0.17921578887196296,Grand Avenue,2,#FCAE91
98,27,44.940085,-93.173933,2025-04-04T03:49:44Z,-0.130447,Grand Avenue East,-0.057499,0.16862,0.22080593110240496,Grand Avenue,2,#FCAE91
99,28,44.940085,-93.173798,2025-04-04T03:49:45Z,0.02263,Grand Avenue East,-0.039274,0.069829,0.08325054484506393,Grand Avenue,2,#FCAE91
100,29,44.940087,-93.173667,2025-04-04T03:49:46Z,-0.064764,Grand Avenue East,0.046142,0.105464,0.13208374296634692,Grand Avenue,2,#FCAE91
101,30,44.940087,-93.173532,2025-04-04T03:49:47Z,0.030321,Grand Avenue East,-0.126256,0.27004,0.2996356824161635,Grand Avenue,2,#FCAE91
102,31,44.940087,-93.173397,2025-04-04T03:49:48Z,-0.09672,Grand Avenue East,0.030777,-0.012044,0.1022107629606589,Grand Avenue,2,#FCAE91
103,32,44.940085,-93.173262,2025-04-04T03:49:49Z,-0.004026,Grand Avenue East,-0.072829,0.072215,0.10264150301900299,Grand Avenue,2,#FCAE91
104,33,44.940081,-93.173122,2025-04-04T03:49:50Z,0.090183,Grand Avenue East,0.023007,0.033975,0.09907873718916688,Grand Avenue,2,#FCAE91
105,34,44.940081,-93.172983,2025-04-04T03:49:51Z,0.155411,Grand Avenue East,-0.024555,0.079426,0.17624986928222103,Grand Avenue,2,#FCAE91
106,35,44.94008,-93.172841,2025-04-04T03:49:52Z,0.130844,Grand Avenue East,0.121511,-0.158726,0.23891215651992262,Grand Avenue,2,#FCAE91
107,36,44.94008,-93.172694,2025-04-04T03:49:53Z,0.111873,Grand Avenue East,-0.019376,0.147749,0.18633508662085085,Grand Avenue,2,#FCAE91
108,37,44.940078,-93.172552,2025-04-04T03:49:54Z,0.067103,Grand Avenue East,-0.013446,-0.028462,0.074119450679292,Grand Avenue,2,#FCAE91
109,38,44.940071,-93.172401,2025-04-04T03:49:55Z,0.049866,Grand Avenue East,-0.098259,0.090088,0.1423281306734547,Grand Avenue,2,#FCAE91
110,39,44.940074,-93.172249,2025-04-04T03:49:56Z,0.074217,Grand Avenue East,-0.018072,-0.082746,0.11261288020914838,Grand Avenue,2,#FCAE91
111,40,44.940079,-93.172102,2025-04-04T03:49:57Z,-0.177473,Grand Avenue East,0.040722,-0.020507,0.1832361428921707,Grand Avenue,2,#FCAE91
112,41,44.940076,-93.171949,2025-04-04T03:49:58Z,-0.169222,Grand Avenue East,-0.044471,0.086806,0.19531778403668212,Grand Avenue,2,#FCAE91
